Title,Link,Description
Simultaneous Detection and Removal of Dynamic Objects in Multi-view Images. ,http://arxiv.org/abs/1912.05591,"Consider a set of images of a scene consisting of moving objects captured
using a hand-held camera. In this work, we propose an algorithm which takes
this set of multi-view images as input, detects the dynamic objects present in
the scene, and replaces them with the static regions which are being occluded
by them. The proposed algorithm scans the reference image in the row-major
order at the pixel level and classifies each pixel as static or dynamic. During
the scan, when a pixel is classified as dynamic, the proposed algorithm
replaces that pixel value with the corresponding pixel value of the static
region which is being occluded by that dynamic region. We show that we achieve
artifact-free removal of dynamic objects in multi-view images of several
real-world scenes. To the best of our knowledge, we propose the first method
which simultaneously detects and removes the dynamic objects present in
multi-view images.
"
Practical Sized Typing for Coq. ,http://arxiv.org/abs/1912.05601,"Termination of recursive functions and productivity of corecursive functions
are important for maintaining logical consistency in proof assistants. However,
contemporary proof assistants, such as Coq, rely on syntactic criteria that
prevent users from easily writing obviously terminating or productive programs,
such as quicksort. This is troublesome, since there exist theories for
type-based termination- and productivity-checking. In this paper, we present a
design and implementation of sized type checking and inference for Coq. We
extend past work on sized types for the Calculus of (Co)\-Inductive
Constructions (CIC) with support for global definitions found in Gallina, and
extend the sized-type inference algorithm to support completely unannotated
Gallina terms. This allows our design to maintain complete backward
compatibility with existing Coq developments. We provide an implementation that
extends the Coq kernel with optional support for sized types.
"
A Novel Approach in Strategic Planning of Power Networks Against Physical Attacks. ,http://arxiv.org/abs/1912.05603,"The reported work points at developing a practical approach for power
transmission planners to secure power networks from potential deliberate
attacks. We study the interaction between a system planner (defender) and a
rational attacker who threatens the operation of the power grid. In addition to
the commonly used hardening strategy for protecting the network, a new sort of
resource is introduced under the deception concept. Feint and deception are
acknowledged as effective tools for misleading the attacker in strategic
planning. To this end, the defender deception is mathematically formulated by
releasing misinformation about his plan in the shared cognition-based model. To
reduce the risk of damage in case of deception failure, preemptive-goal
programming is utilized to prioritize the hardening strategy for the vital
components. Furthermore, the value of posturing is introduced which is the
benefits that the deception brings to the system. The problems are formulated
as tri-level mixed-integer linear programming and solved by the
constraint-and-column generation method. Comprehensive simulation studies
performed on WSCC 9-bus and IEEE 118-bus systems indicate how the defender will
save significant cost from protecting his network with posturing rather than
hardening and the proposed approach is a promising development to ensure the
secure operation of power networks.
"
"A Billion Ways to Grasp: An Evaluation of Grasp Sampling Schemes on a Dense, Physics-based Grasp Data Set. ",http://arxiv.org/abs/1912.05604,"Robot grasping is often formulated as a learning problem. With the increasing
speed and quality of physics simulations, generating large-scale grasping data
sets that feed learning algorithms is becoming more and more popular. An often
overlooked question is how to generate the grasps that make up these data sets.
In this paper, we review, classify, and compare different grasp sampling
strategies. Our evaluation is based on a fine-grained discretization of SE(3)
and uses physics-based simulation to evaluate the quality and robustness of the
corresponding parallel-jaw grasps. Specifically, we consider more than 1
billion grasps for each of the 21 objects from the YCB data set. This dense
data set lets us evaluate existing sampling schemes w.r.t. their bias and
efficiency. Our experiments show that some popular sampling schemes contain
significant bias and do not cover all possible ways an object can be grasped.
"
Content Generation for Workforce Training. ,http://arxiv.org/abs/1912.05606,"Efficient workforce training is needed in today's world in which technology
is continually changing the nature of work. Students need to be prepared to
enter the workforce. Employees need to become lifelong learners to stay
up-to-date in their work and to adapt when job functions are eliminated. The
training needs are across all industries - including manufacturing,
construction, and healthcare. Computing systems, in particular
Virtual/Augmented Reality systems, have been adopted in many training
application and show even more promise in the future. However, there are
fundamental limitations in today's systems that limit the domains where
computing systems can be applied and the extent to which they can be deployed.
These limitations need to be addressed by new computing research. In particular
research is needed at multiple levels:
</p>
<p>- Application Data Collection Level Requiring High Security and Privacy
Protections
</p>
<p>- Training Material Authoring Level
</p>
<p>- Software Systems Level
</p>
<p>- Hardware Level
</p>
<p>To accomplish these research goals, a training community needs to be
established to do research in end-to-end training systems and to create a
community of learning and domain experts available for consulting for in depth
computing research on individual system components.
"
Optimization of Integer-Forcing Precoding for Multi-User MIMO Downlink. ,http://arxiv.org/abs/1912.05609,"Integer-forcing (IF) precoding is an alternative to linear precoding for
multi-user (MU) multiple-input-multiple-output (MIMO) channels. IF precoding
can be viewed as a generalization of lattice-reduction-aided (LRA) precoding
where symbol-level detection is replaced by codeword-level decoding, allowing
achievable rate expressions to be derived explicitly. A particular form of IF
precoding that is asymptotically optimal for high SNR is the regularized
diagonally-scaled IF (RDIF) scheme, which is specified by a diagonal scaling
matrix $\mathbf{D}$ and an integer-valued effective channel matrix
$\mathbf{A}$. Optimal values for these parameters have been found
(analytically) only for the case of $K = 2$ users. In this paper, a
low-complexity method is proposed to find good parameters for the RDIF scheme
for $K &gt; 2$ users. The proposed method computes matrix $\mathbf{D}$ by solving
a relaxed optimization problem and then matrix $\mathbf{A}$ by the application
of the LLL algorithm---which, in this particular case, is shown to converge
with a fixed number of iterations, resulting in an overall complexity of
$\mathcal{O}(K^3)$. Simulation results show that the proposed method achieves
1a higher sum rate than choosing $\mathbf{D} = \mathbf{I}$ (as in LRA
precoding) and significantly outperforms traditional linear precoding in all
simulated scenarios1
"
"Applying ANN, ANFIS, and LSSVM Models for Estimation of Acid Solvent Solubility in Supercritical CO$_2$. ",http://arxiv.org/abs/1912.05612,"In the present work, a novel and the robust computational investigation is
carried out to estimate solubility of different acids in supercritical carbon
dioxide. Four different algorithms such as radial basis function artificial
neural network, Multi-layer Perceptron (MLP) artificial neural network (ANN),
Least squares support vector machine (LSSVM) and adaptive neuro-fuzzy inference
system (ANFIS) are developed to predict the solubility of different acids in
carbon dioxide based on the temperature, pressure, hydrogen number, carbon
number, molecular weight, and acid dissociation constant of acid. In the
purpose of best evaluation of proposed models, different graphical and
statistical analyses and also a novel sensitivity analysis are carried out. The
present study proposed the great manners for best acid solubility estimation in
supercritical carbon dioxide, which can be helpful for engineers and chemists
to predict operational conditions in industries.
"
Ensuring Liveness Properties of Distributed Systems: Open Problems. ,http://arxiv.org/abs/1912.05616,"Often fairness assumptions need to be made in order to establish liveness
properties of distributed systems, but in many situations they lead to false
conclusions. This document presents a research agenda aiming at laying the
foundations of a theory of concurrency that is equipped to ensure liveness
properties of distributed systems without making fairness assumptions. This
theory will encompass process algebra, temporal logic and semantic models. The
agenda also includes the development of a methodology and tools that allow
successful application of this theory to the specification, analysis and
verification of realistic distributed systems. Contemporary process algebras
and temporal logics fail to make distinctions between systems of which one has
a crucial liveness property and the other does not, at least when assuming
justness, a strong progress property, but not assuming fairness. Setting up an
alternative framework involves giving up on identifying strongly bisimilar
systems, inventing new induction principles, developing new axiomatic bases for
process algebras and new congruence formats for operational semantics, and
creating matching treatments of time and probability. Even simple systems like
fair schedulers or mutual exclusion protocols cannot be accurately specified in
standard process algebras (or Petri nets) in the absence of fairness
assumptions. Hence the work involves the study of adequate language or model
extensions, and their expressive power.
"
Molecular Generative Model Based On Adversarially Regularized Autoencoder. ,http://arxiv.org/abs/1912.05617,"Deep generative models are attracting great attention as a new promising
approach for molecular design. All models reported so far are based on either
variational autoencoder (VAE) or generative adversarial network (GAN). Here we
propose a new type model based on an adversarially regularized autoencoder
(ARAE). It basically uses latent variables like VAE, but the distribution of
the latent variables is obtained by adversarial training like in GAN. The
latter is intended to avoid both inappropriate approximation of posterior
distribution in VAE and difficulty in handling discrete variables in GAN. Our
benchmark study showed that ARAE indeed outperformed conventional models in
terms of validity, uniqueness, and novelty per generated molecule. We also
demonstrated successful conditional generation of drug-like molecules with ARAE
for both cases of single and multiple properties control. As a potential
real-world application, we could generate EGFR inhibitors sharing the scaffolds
of known active molecules while satisfying drug-like conditions simultaneously.
"
"Judge, Jury & Encryptioner: Exceptional Access with a Fixed Social Cost. ",http://arxiv.org/abs/1912.05620,"We present Judge, Jury and Encryptioner (JJE) an exceptional access scheme
for unlocking devices that does not give unilateral power to any single
authority and places final approval to unlock in the hands of peer devices. Our
scheme, JJE, distributes maintenance of the protocol across a network of
""custodians"" such as courts, government agencies, civil rights watchdogs and
academic institutions. Unlock requests, however, can only be approved by a
randomly selected set of unlock delegates, consisting of other peer devices
that must be physically located to gain access. This requires that law
enforcement expend both human and monetary resources and pay a ""fixed social
cost"" in order to find and request the participation of law abiding citizens in
the unlock process.
</p>
<p>Compared to other proposed exceptional access schemes, we believe that JJE
mitigates the risk of mass surveillance, law enforcement abuse, and
vulnerability to unlawful attackers. We aim to raise the bar set by government
sponsored ""backdoors"" which can be used to covertly unlock any device deemed
suspicious by law enforcement. While we propose a concrete construction, our
primary goal with JJE is to spur discussion on ethical exceptional access
schemes that balance privacy of individuals and law enforcement desires.
</p>
<p>Our scheme transparently reveals the use of exceptional access to device
owners, and to the public, in a way that is clear what are the trade offs in
security and privacy. In order to unlock devices, governments must pay a fixed
social cost that, we believe, can be an effective deterrent to mass
surveillance and abuse.
"
Pre-Training of Deep Bidirectional Protein Sequence Representations with Structural Information. ,http://arxiv.org/abs/1912.05625,"A structure of a protein has a direct impact on its properties and functions.
However, identification of structural similarity directly from amino acid
sequences remains as a challenging problem in computational biology. In this
paper, we introduce a novel BERT-wise pre-training scheme for a protein
sequence representation model called PLUS, which stands for Protein sequence
representations Learned Using Structural information. As natural language
representation models capture syntactic and semantic information of words from
a large unlabeled text corpus, PLUS captures structural information of amino
acids from a large weakly labeled protein database. Since the Transformer
encoder, BERT's original model architecture, has a severe computational
requirement to handle long sequences, we first propose to combine a
bidirectional recurrent neural network with the BERT-wise pre-training scheme.
PLUS is designed to learn protein representations with two pre-training
objectives, i.e., masked language modeling and same family prediction. Then,
the pre-trained model can be fine-tuned for a wide range of tasks without
training randomly initialized task-specific models from scratch. It obtains new
state-of-the-art results on both (1) protein-level and (2) amino-acid-level
tasks, outperforming many task-specific algorithms.
"
Large-scale Kernel Methods and Applications to Lifelong Robot Learning. ,http://arxiv.org/abs/1912.05629,"As the size and richness of available datasets grow larger, the opportunities
for solving increasingly challenging problems with algorithms learning directly
from data grow at the same pace. Consequently, the capability of learning
algorithms to work with large amounts of data has become a crucial scientific
and technological challenge for their practical applicability. Hence, it is no
surprise that large-scale learning is currently drawing plenty of research
effort in the machine learning research community. In this thesis, we focus on
kernel methods, a theoretically sound and effective class of learning
algorithms yielding nonparametric estimators. Kernel methods, in their
classical formulations, are accurate and efficient on datasets of limited size,
but do not scale up in a cost-effective manner. Recent research has shown that
approximate learning algorithms, for instance random subsampling methods like
Nystr\""om and random features, with time-memory-accuracy trade-off mechanisms
are more scalable alternatives. In this thesis, we provide analyses of the
generalization properties and computational requirements of several types of
such approximation schemes. In particular, we expose the tight relationship
between statistics and computations, with the goal of tailoring the accuracy of
the learning process to the available computational resources. Our results are
supported by experimental evidence on large-scale datasets and numerical
simulations. We also study how large-scale learning can be applied to enable
accurate, efficient, and reactive lifelong learning for robotics. In
particular, we propose algorithms allowing robots to learn continuously from
experience and adapt to changes in their operational environment. The proposed
methods are validated on the iCub humanoid robot in addition to other
benchmarks.
"
Discriminative Dimension Reduction based on Mutual Information. ,http://arxiv.org/abs/1912.05631,"The ""curse of dimensionality"" is a well-known problem in pattern recognition.
A widely used approach to tackling the problem is a group of subspace methods,
where the original features are projected onto a new space. The lower
dimensional subspace is then used to approximate the original features for
classification. However, most subspace methods were not originally developed
for classification. We believe that direct adoption of these subspace methods
for pattern classification should not be considered best practice. In this
paper, we present a new information theory based algorithm for selecting
subspaces, which can always result in superior performance over conventional
methods. This paper makes the following main contributions: i) it improves a
common practice widely used by practitioners in the field of pattern
recognition, ii) it develops an information theory based technique for
systematically selecting the subspaces that are discriminative and therefore
are suitable for pattern recognition/classification purposes, iii) it presents
extensive experimental results on a variety of computer vision and pattern
recognition tasks to illustrate that the subspaces selected based on maximum
mutual information criterion will always enhance performance regardless of the
classification techniques used.
"
CineFilter: Unsupervised Filtering for Real Time Autonomous Camera Systems. ,http://arxiv.org/abs/1912.05636,"Learning to mimic the smooth and deliberate camera movement of a human
cameraman is an essential requirement for autonomous camera systems. This paper
presents a novel formulation for online and real-time estimation of smooth
camera trajectories. Many works have focused on global optimization of the
trajectory to produce an offline output. Some recent works have tried to extend
this to the online setting, but lack either in the quality of the camera
trajectories or need large labeled datasets to train their supervised model. We
propose two models, one a convex optimization based approach and another a CNN
based model, both of which can exploit the temporal trends in the camera
behavior. Our model is built in an unsupervised way without any ground truth
trajectories and is robust to noisy outliers. We evaluate our models on two
different settings namely a basketball dataset and a stage performance dataset
and compare against multiple baselines and past approaches. Our models
outperform other methods on quantitative and qualitative metrics and produce
smooth camera trajectories that are motivated by cinematographic principles.
These models can also be easily adopted to run in real-time with a low
computational cost, making them fit for a variety of applications.
"
A recipe for creating ideal hybrid memristive-CMOS neuromorphic computing systems. ,http://arxiv.org/abs/1912.05637,"The development of memristive device technologies has reached a level of
maturity to enable the design of complex and large-scale hybrid memristive-CMOS
neural processing systems. These systems offer promising solutions for
implementing novel in-memory computing architectures for machine learning and
data analysis problems. We argue that they are also ideal building blocks for
the integration in neuromorphic electronic circuits suitable for ultra-low
power brain-inspired sensory processing systems, therefore leading to the
innovative solutions for always-on edge-computing and Internet-of-Things (IoT)
applications. Here we present a recipe for creating such systems based on
design strategies and computing principles inspired by those used in mammalian
brains. We enumerate the specifications and properties of memristive devices
required to support always-on learning in neuromorphic computing systems and to
minimize their power consumption. Finally, we discuss in what cases such
neuromorphic systems can complement conventional processing ones and highlight
the importance of exploiting the physics of both the memristive devices and of
the CMOS circuits interfaced to them.
"
Dynamic State and Parameter Estimation for Natural Gas Networks using Real Pipeline System Data. ,http://arxiv.org/abs/1912.05644,"We present a method for joint state and parameter estimation for natural gas
networks where gas pressures and flows through a network of pipes depend on
time-varying injections, withdrawals, and compression controls. The estimation
is posed as an optimal control problem constrained by coupled partial
differential equations on each pipe that describe space- and time-dependent
density and mass flux. These are discretized and combined with nodal conditions
to give dynamic constraints for posing the estimation as nonlinear least
squares problems. We develop a rapid, scalable computational method for
performing the estimation in the presence of measurement and process noise.
Finally, we evaluate its effectiveness using a data set from a capacity
planning model for an actual pipeline system and a month of time-series data
from its supervisory control and data acquisition (SCADA) system.
"
Bayesian Variational Autoencoders for Unsupervised Out-of-Distribution Detection. ,http://arxiv.org/abs/1912.05651,"Despite their successes, deep neural networks still make unreliable
predictions when faced with test data drawn from a distribution different to
that of the training data, constituting a major problem for AI safety. While
this motivated a recent surge in interest in developing methods to detect such
out-of-distribution (OoD) inputs, a robust solution is still lacking. We
propose a new probabilistic, unsupervised approach to this problem based on a
Bayesian variational autoencoder model, which estimates a full posterior
distribution over the decoder parameters using stochastic gradient Markov chain
Monte Carlo, instead of fitting a point estimate. We describe how
information-theoretic measures based on this posterior can then be used to
detect OoD data both in input space as well as in the model's latent space. The
effectiveness of our approach is empirically demonstrated.
"
Learning Human Objectives by Evaluating Hypothetical Behavior. ,http://arxiv.org/abs/1912.05652,"We seek to align agent behavior with a user's objectives in a reinforcement
learning setting with unknown dynamics, an unknown reward function, and unknown
unsafe states. The user knows the rewards and unsafe states, but querying the
user is expensive. To address this challenge, we propose an algorithm that
safely and interactively learns a model of the user's reward function. We start
with a generative model of initial states and a forward dynamics model trained
on off-policy data. Our method uses these models to synthesize hypothetical
behaviors, asks the user to label the behaviors with rewards, and trains a
neural network to predict the rewards. The key idea is to actively synthesize
the hypothetical behaviors from scratch by maximizing tractable proxies for the
value of information, without interacting with the environment. We call this
method reward query synthesis via trajectory optimization (ReQueST). We
evaluate ReQueST with simulated users on a state-based 2D navigation task and
the image-based Car Racing video game. The results show that ReQueST
significantly outperforms prior methods in learning reward models that transfer
to new environments with different initial state distributions. Moreover,
ReQueST safely trains the reward model to detect unsafe states, and corrects
reward hacking before deploying the agent.
"
deepsing: Generating Sentiment-aware Visual Stories using Cross-modal Music Translation. ,http://arxiv.org/abs/1912.05654,"In this paper we propose a deep learning method for performing
attributed-based music-to-image translation. The proposed method is applied for
synthesizing visual stories according to the sentiment expressed by songs. The
generated images aim to induce the same feelings to the viewers, as the
original song does, reinforcing the primary aim of music, i.e., communicating
feelings. The process of music-to-image translation poses unique challenges,
mainly due to the unstable mapping between the different modalities involved in
this process. In this paper, we employ a trainable cross-modal translation
method to overcome this limitation, leading to the first, to the best of our
knowledge, deep learning method for generating sentiment-aware visual stories.
Various aspects of the proposed method are extensively evaluated and discussed
using different songs.
"
VIBE: Video Inference for Human Body Pose and Shape Estimation. ,http://arxiv.org/abs/1912.05656,"Human motion is fundamental to understanding behavior. Despite progress on
single-image 3D pose and shape estimation, existing video-based
state-of-the-art methods fail to produce accurate and natural motion sequences
due to a lack of ground-truth 3D motion data for training. To address this
problem, we propose Video Inference for Body Pose and Shape Estimation (VIBE),
which makes use of an existing large-scale motion capture dataset (AMASS)
together with unpaired, in-the-wild, 2D keypoint annotations. Our key novelty
is an adversarial learning framework that leverages AMASS to discriminate
between real human motions and those produced by our temporal pose and shape
regression networks. We define a temporal network architecture and show that
adversarial training, at the sequence level, produces kinematically plausible
motion sequences without in-the-wild ground-truth 3D labels. We perform
extensive experimentation to analyze the importance of motion and demonstrate
the effectiveness of VIBE on challenging 3D pose estimation datasets, achieving
state-of-the-art performance. Code and pretrained models are available at
https://github.com/mkocabas/VIBE.
"
"Cross-layer Design and SDR Implementation of DSA, Backpressure Routing and Network Coding. ",http://arxiv.org/abs/1912.05658,"A cross-layer cognitive radio system is designed to support unicast and
multicast traffic with integration of dynamic spectrum access (DSA),
backpressure algorithm, and network coding for multi-hop networking. The full
protocol stack that operates with distributed coordination and local
information exchange is implemented with software-defined radios (SDRs) and
assessed in a realistic test and evaluation (T\&amp;E) system based on a network
emulation testbed. Without a common control channel, each SDR performs
neighborhood discovery, spectrum sensing and channel estimation, and executes a
distributed extension of backpressure algorithm that optimizes the spectrum
utility (that represents link rates and traffic congestion) with joint DSA and
routing. The backpressure algorithm is extended to support multicast traffic
with network coding deployed over virtual queues (for multicast destinations).
In addition to full rank decoding at destinations, rank deficient decoding is
also considered to reduce the delay. Cognitive network functionalities are
programmed with GNU Radio and Python modules are developed for different
layers. USRP radios are used as RF front ends. A wireless network T\&amp;E system
is presented to execute emulation tests, where radios communicate with each
other through a wireless network emulator that controls physical channels
according to path loss, fading, and topology effects. Emulation tests are
presented for different topologies to evaluate the throughput, backlog and
energy consumption. Results verify the SDR implementation and the joint effect
of DSA, backpressure routing and network coding under realistic channel and
radio hardware effects.
"
Robust Gabor Networks. ,http://arxiv.org/abs/1912.05661,"This work takes a step towards investigating the benefits of merging
classical vision techniques with deep learning models. Formally, we explore the
effect of replacing the first layers of neural network architectures with
convolutional layers that are based on Gabor filters with learnable parameters.
As a first result, we observe that architectures utilizing Gabor filters as
low-level kernels are capable of preserving test set accuracy of deep
convolutional networks. Therefore, this architectural change exalts their
capabilities in extracting useful low-level features. Furthermore, we observe
that the architectures enhanced with Gabor layers gain advantages in terms of
robustness when compared to the regular models. Additionally, the existence of
a closed mathematical expression for the Gabor kernels allows us to develop an
analytical expression for an upper bound to the Lipschitz constant of the Gabor
layer. This expression allows us to propose a simple regularizer to enhance the
robustness of the network. We conduct extensive experiments with several
architectures and datasets, and show the beneficial effects that the
introduction of Gabor layers has on the robustness of deep convolutional
networks.
"
"Computa\c{c}\~ao Urbana da Teoria \`a Pr\'atica: Fundamentos, Aplica\c{c}\~oes e Desafios. ",http://arxiv.org/abs/1912.05662,"The growing of cities has resulted in innumerable technical and managerial
challenges for public administrators such as energy consumption, pollution,
urban mobility and even supervision of private and public spaces in an
appropriate way. Urban Computing emerges as a promising paradigm to solve such
challenges, through the extraction of knowledge, from a large amount of
heterogeneous data existing in urban space. Moreover, Urban Computing
correlates urban sensing, data management, and analysis to provide services
that have the potential to improve the quality of life of the citizens of large
urban centers. Consider this context, this chapter aims to present the
fundamentals of Urban Computing and the steps necessary to develop an
application in this area. To achieve this goal, the following questions will be
investigated, namely: (i) What are the main research problems of Urban
Computing?; (ii) What are the technological challenges for the implementation
of services in Urban Computing?; (iii) What are the main methodologies used for
the development of services in Urban Computing?; and (iv) What are the
representative applications in this field?
"
